rank,id,score,views,favors,likes,comments,date,recency_x,translated,tags,title,url,decision,notes
1,134104142,8.274,23000,81,17,0,2023-10-29,0.9,yes,#人工智能,能量管理系统（EMS）：新能源储能行业的智能化大脑,https://blog.csdn.net/yeyuangen/article/details/134104142,,
2,126260024,7.08,18000,73,6,1,2022-08-24,0.8,yes,#复旦微FPGA | #国产FPGA | #DSP+ARM+FPGA,国产DSP/ARM+复旦微ZYNQ/A7/K7 FPGA系列解决方案,https://blog.csdn.net/yeyuangen/article/details/126260024,,
3,128405320,7.01,16000,78,8,0,2022-12-22,0.8,yes,#SI/PI仿真分析,SI/PI仿真概述：有源高速信号、阻抗、滤波方案分析,https://blog.csdn.net/yeyuangen/article/details/128405320,,
4,131730439,6.93,4900,43,7,0,2023-07-14,0.9,yes,#fpga开发 | #arm开发,基于STM32 ARM+FPGA伺服控制系统总体设计方案(一）,https://blog.csdn.net/yeyuangen/article/details/131730439,,
5,122848777,6.888,10000,57,7,3,2022-06-01,0.8,yes,#ZYNQ | #H264 | #低延时 | #FPGA | #无线图传,Zynq FPGA低时延H.264设计方案（编码+解码＜ 1ms）,https://blog.csdn.net/yeyuangen/article/details/122848777,,
6,131767085,6.773,8500,32,4,0,2023-07-17,0.9,yes,#RK3588 | #ISP,RK3588-Camera:MIPI-CSI及ISP调试之通路解析,https://blog.csdn.net/yeyuangen/article/details/131767085,,
7,131051184,6.662,5800,24,3,3,2023-06-05,0.9,yes,#fpga开发 | #RK3588 | #图像处理,RK3588+FPGA+Cameralink高速相机解决方案,https://blog.csdn.net/yeyuangen/article/details/131051184,,
8,136463703,6.523,2200,23,26,0,2024-03-04,0.9,yes,#储能控制器,英特尔/ARM/国产化EMS储能控制器解决方案,https://blog.csdn.net/yeyuangen/article/details/136463703,,
9,135188661,6.51,2600,23,20,0,2023-12-24,0.9,yes,#数据采集 | #PXI | #船舶,面向船舶结构健康监测的数据采集与处理系统（一）系统架构,https://blog.csdn.net/yeyuangen/article/details/135188661,,
10,135530209,6.335,1600,23,21,0,2024-01-11,0.9,yes,#fpga开发 | #数据采集 | #温度测量,USB-XM2403 USB接口的温度数据采集卡,https://blog.csdn.net/yeyuangen/article/details/135530209,,
11,135432375,6.251,1100,25,21,0,2024-01-06,0.9,yes,#人工智能 | #船舶 | #数据采集 | #采集,基于X86的助力智慧船载监控系统,https://blog.csdn.net/yeyuangen/article/details/135432375,,
12,131423799,6.045,4900,20,2,0,2023-06-27,0.9,yes,#linuxcnc,RK3568/RK3588+LinuxCNC+Ethercat解决方案,https://blog.csdn.net/yeyuangen/article/details/131423799,,
13,126839996,5.976,6400,21,4,4,2022-09-13,0.8,yes,#codesys | #RK3568 | #ARM+LINUX,RK3568+Codesys ARM+LINUX硬件平台的软PLC解决方案,https://blog.csdn.net/yeyuangen/article/details/126839996,,
14,126966000,5.749,6100,37,1,0,2022-09-21,0.8,yes,#fpga开发 | #国产DSP | #银河飞腾DSP,基于国产银河飞腾多核 DSP +FPGA的图像识别硬件设计与算法实现,https://blog.csdn.net/yeyuangen/article/details/126966000,,
15,126418195,5.745,8000,24,3,0,2022-08-19,0.8,yes,#人工智能 | #fpga开发,RK3588+AI+FPGA图像处理硬件算法加速解决方案,https://blog.csdn.net/yeyuangen/article/details/126418195,,
16,131429316,5.737,3400,16,2,0,2023-06-30,0.9,yes,#fpga开发 | DAMO开发者矩阵 | 加入社区,【国产虚拟仪器】基于ZYNQ7045+V7 FPGA的多通道数据同步采集设计方案（一）,https://blog.csdn.net/yeyuangen/article/details/131429316,,
17,130940945,5.669,4100,11,1,2,2023-06-27,0.9,yes,#人工智能 | #ethercat | #RK3588 | #XENOMAI,RK最强ARM系列之RK3588+AI+Ethercat(linux +xenomai+igh)实时解决方案,https://blog.csdn.net/yeyuangen/article/details/130940945,,
18,126575372,5.616,5700,19,3,1,2022-08-28,0.8,yes,#RK3588 | #国产DSP | #国产FPGA | #AI,国产RK3588+DSP+FPGA+AI工业视觉主板解决方案,https://blog.csdn.net/yeyuangen/article/details/126575372,,
19,124597073,5.612,5900,26,2,0,2022-05-13,0.8,yes,#fpga开发 | #单片机 | #嵌入式硬件,高性能国产化信号处理平台国产DSP+FPGA+AI NPU安路紫光方案,https://blog.csdn.net/yeyuangen/article/details/124597073,,
20,129054299,5.557,3800,20,7,0,2023-02-16,0.8,yes,#硬件架构 | #精密运动控制器 | #DSP+FPGA,基于 VPX 总线的工件台运动控制系统研究与开发-DSP+FPGA硬件架构（一）,https://blog.csdn.net/yeyuangen/article/details/129054299,,
